entity,type,time,sentiment,score,company,channel
nasa,ORG,2021-04-22,3 stars,3,spacex,tweet
megan kimbrough hoshide wish,PERSON,2021-04-22,3 stars,3,spacex,tweet
megan kimbrough hoshide woooo,PERSON,2021-04-22,4 stars,4,spacex,tweet
megan kimbrough hoshide,PERSON,2021-04-22,4 stars,4,spacex,tweet
megan kimbrough hoshide,PERSON,2021-04-22,4 stars,4,spacex,tweet
megan kimbrough hoshide,PERSON,2021-04-22,4 stars,4,spacex,tweet
tesla,ORG,2021-04-21,5 stars,5,spacex,tweet
surpr1se,PERSON,2021-04-21,5 stars,5,spacex,tweet
wvw btcstep,ORG,2021-04-21,1 star,1,spacex,tweet
gt gt gt gt,PRODUCT,2021-04-21,1 star,1,spacex,tweet
tesla,ORG,2021-04-21,1 star,1,spacex,tweet
surpr1se,PERSON,2021-04-21,1 star,1,spacex,tweet
ready capt,PERSON,2021-04-20,5 stars,5,spacex,tweet
happy elon,PERSON,2021-04-20,5 stars,5,spacex,tweet
first,ORDINAL,2021-04-18,4 stars,4,spacex,tweet
falcon 9,ORG,2021-04-18,4 stars,4,spacex,tweet
elon,ORG,2021-04-18,5 stars,5,spacex,tweet
doge,ORG,2021-04-18,5 stars,5,spacex,tweet
kishu,GPE,2021-04-21,5 stars,5,spacex,tweet
feg,PERSON,2021-04-19,4 stars,4,spacex,tweet
first,ORDINAL,2021-04-17,5 stars,5,spacex,tweet
brazil,GPE,2021-04-17,3 stars,3,spacex,tweet
spacex,ORG,2021-04-16,5 stars,5,spacex,tweet
doge barking,PERSON,2021-04-16,3 stars,3,spacex,tweet
doge barking,PERSON,2021-04-16,3 stars,3,spacex,tweet
doge,PRODUCT,2021-04-16,4 stars,4,spacex,tweet
gt gt gt gt www,PRODUCT,2021-04-07,5 stars,5,spacex,tweet
first,ORDINAL,2021-04-07,3 stars,3,spacex,tweet
mmorpg,PRODUCT,2021-04-07,3 stars,3,spacex,tweet
spacex,ORG,2021-04-07,3 stars,3,spacex,tweet
romania,GPE,2021-04-07,5 stars,5,spacex,tweet
congrats spacex,PERSON,2021-04-07,4 stars,4,spacex,tweet
first,ORDINAL,2021-04-07,2 stars,2,spacex,tweet
first,ORDINAL,2021-04-07,5 stars,5,spacex,tweet
o,ORG,2021-04-07,5 stars,5,spacex,tweet
doug,PERSON,2021-04-07,5 stars,5,spacex,tweet
7th,ORDINAL,2021-04-07,5 stars,5,spacex,tweet
bob,PERSON,2021-04-07,5 stars,5,spacex,tweet
kindly,ORG,2021-04-07,5 stars,5,spacex,tweet
vin,PERSON,2021-04-07,5 stars,5,spacex,tweet
starlink,ORG,2021-04-07,4 stars,4,spacex,tweet
bob behnken,PERSON,2021-04-07,4 stars,4,spacex,tweet
 b1058 7,LAW,2021-04-07,4 stars,4,spacex,tweet
doug hurley,PERSON,2021-04-07,4 stars,4,spacex,tweet
the international space station,ORG,2021-04-07,4 stars,4,spacex,tweet
nasa,ORG,2021-04-07,4 stars,4,spacex,tweet
ambition,PRODUCT,2021-04-07,5 stars,5,spacex,tweet
don,PERSON,2021-04-07,1 star,1,spacex,tweet
doug,PERSON,2021-04-07,5 stars,5,spacex,tweet
7th,ORDINAL,2021-04-07,5 stars,5,spacex,tweet
bob,PERSON,2021-04-07,5 stars,5,spacex,tweet
direto,PERSON,2021-04-07,5 stars,5,spacex,tweet
iceland,GPE,2021-04-07,5 stars,5,spacex,tweet
pompeii,GPE,2021-04-07,5 stars,5,spacex,tweet
first,ORDINAL,2021-04-06,5 stars,5,spacex,tweet
spacex,PERSON,2021-04-06,5 stars,5,spacex,tweet
starlink,GPE,2021-04-05,1 star,1,spacex,tweet
myanmar,GPE,2021-04-05,1 star,1,spacex,tweet
nasa,ORG,2021-04-05,5 stars,5,spacex,tweet
sagar,PERSON,2021-04-05,5 stars,5,spacex,tweet
india,GPE,2021-04-05,5 stars,5,spacex,tweet
nikon,ORG,2021-04-05,5 stars,5,spacex,tweet
nasa,ORG,2021-04-06,5 stars,5,spacex,tweet
gt gt gt gt www,PRODUCT,2021-04-05,4 stars,4,spacex,tweet
point reazon wavy,PERSON,2021-04-05,4 stars,4,spacex,tweet
neo nft,PERSON,2021-04-05,5 stars,5,spacex,tweet
first,ORDINAL,2021-04-05,5 stars,5,spacex,tweet
iamgoingto,ORG,2021-04-05,5 stars,5,spacex,tweet
wen hop,PERSON,2021-03-30,5 stars,5,spacex,tweet
neuralink,ORG,2021-03-30,2 stars,2,spacex,tweet
elon biological,PERSON,2021-03-30,2 stars,2,spacex,tweet
20 bucks,MONEY,2021-03-30,1 star,1,spacex,tweet
vandenberg ed,PERSON,2021-03-30,5 stars,5,spacex,tweet
blockchain,PERSON,2021-03-24,1 star,1,spacex,tweet
usdt,ORG,2021-03-24,1 star,1,spacex,tweet
mars,LOC,2021-03-24,5 stars,5,spacex,tweet
french,NORP,2021-03-24,3 stars,3,spacex,tweet
ksp falcon,ORG,2021-03-24,5 stars,5,spacex,tweet
sixth,ORDINAL,2021-03-24,5 stars,5,spacex,tweet
#ocisly,PERSON,2021-03-24,5 stars,5,spacex,tweet
sci fi,ORG,2021-03-24,5 stars,5,spacex,tweet
theodore von karman,PERSON,2021-03-24,5 stars,5,spacex,tweet
b1060,PRODUCT,2021-03-24,5 stars,5,spacex,tweet
falcon,ORG,2021-03-24,5 stars,5,spacex,tweet
second,ORDINAL,2021-03-24,2 stars,2,spacex,tweet
sci fi,ORG,2021-03-24,5 stars,5,spacex,tweet
james kip finch,PERSON,2021-03-24,5 stars,5,spacex,tweet
mars,LOC,2021-03-24,5 stars,5,spacex,tweet
starship 1,FAC,2021-03-24,5 stars,5,spacex,tweet
east east,LOC,2021-03-24,2 stars,2,spacex,tweet
spacex,PERSON,2021-03-24,5 stars,5,spacex,tweet
gt gt gt www,PRODUCT,2021-03-24,5 stars,5,spacex,tweet
tesla,ORG,2021-03-24,5 stars,5,spacex,tweet
orbit,GPE,2021-03-24,5 stars,5,spacex,tweet
4th,ORDINAL,2021-03-23,5 stars,5,spacex,tweet
spacex,PERSON,2021-03-23,5 stars,5,spacex,tweet
spacex,ORG,2021-03-17,5 stars,5,spacex,tweet
2nd,ORDINAL,2021-03-17,2 stars,2,spacex,tweet
second,ORDINAL,2021-03-17,3 stars,3,spacex,tweet
cgi,ORG,2021-03-17,1 star,1,spacex,tweet
starhopper,PERSON,2021-03-17,1 star,1,spacex,tweet
8th,ORDINAL,2021-03-14,1 star,1,spacex,tweet
starlink,ORG,2021-03-14,5 stars,5,spacex,tweet
second,ORDINAL,2021-03-14,5 stars,5,spacex,tweet
falcon 9,FAC,2021-03-14,1 star,1,spacex,tweet
first,ORDINAL,2021-03-14,5 stars,5,spacex,tweet
9th,ORDINAL,2021-03-14,5 stars,5,spacex,tweet
starlink,ORG,2021-03-14,5 stars,5,spacex,tweet
starlinks,PERSON,2021-03-14,5 stars,5,spacex,tweet
first,ORDINAL,2021-03-14,1 star,1,spacex,tweet
ninth,ORDINAL,2021-03-14,1 star,1,spacex,tweet
dishy mcflat face,WORK_OF_ART,2021-03-14,1 star,1,spacex,tweet
of course i still love you,WORK_OF_ART,2021-03-14,5 stars,5,spacex,tweet
ninth,ORDINAL,2021-03-14,5 stars,5,spacex,tweet
spacex,ORG,2021-03-14,5 stars,5,spacex,tweet
the atlantic ocean,LOC,2021-03-14,5 stars,5,spacex,tweet
falcon,ORG,2021-03-14,5 stars,5,spacex,tweet
theodore von karman,PERSON,2021-03-14,5 stars,5,spacex,tweet
north korea,GPE,2021-03-14,4 stars,4,spacex,tweet
mars,LOC,2021-03-14,5 stars,5,spacex,tweet
starship 1,FAC,2021-03-14,5 stars,5,spacex,tweet
youtube,ORG,2021-03-14,5 stars,5,spacex,tweet
b1051 s 9th,PERSON,2021-03-14,5 stars,5,spacex,tweet
spacex,ORG,2021-03-14,3 stars,3,spacex,tweet
moar satellites,PRODUCT,2021-03-13,5 stars,5,spacex,tweet
starlink,ORG,2021-03-11,1 star,1,spacex,tweet
spacex,ORG,2021-03-11,1 star,1,spacex,tweet
starlinks,PERSON,2021-03-11,1 star,1,spacex,tweet
lumber bridge nc,FAC,2021-03-11,5 stars,5,spacex,tweet
starlink,ORG,2021-03-11,5 stars,5,spacex,tweet
jrti ,ORG,2021-03-11,5 stars,5,spacex,tweet
spacex,PERSON,2021-03-11,5 stars,5,spacex,tweet
the atlantic ocean,LOC,2021-03-11,5 stars,5,spacex,tweet
ixp,ORG,2021-03-11,5 stars,5,spacex,tweet
service provider,ORG,2021-03-11,5 stars,5,spacex,tweet
spacex,ORG,2021-03-11,5 stars,5,spacex,tweet
76th,ORDINAL,2021-03-11,5 stars,5,spacex,tweet
worm,ORG,2021-03-11,5 stars,5,spacex,tweet
6th,ORDINAL,2021-03-11,5 stars,5,spacex,tweet
congrats spacex,PERSON,2021-03-11,5 stars,5,spacex,tweet
spacex,PERSON,2021-03-11,5 stars,5,spacex,tweet
76th,ORDINAL,2021-03-11,5 stars,5,spacex,tweet
james kip finch,PERSON,2021-03-11,5 stars,5,spacex,tweet
hello spacex,PERSON,2021-03-11,5 stars,5,spacex,tweet
g0 gt gt gt www,PRODUCT,2021-03-11,5 stars,5,spacex,tweet
biog,ORG,2021-03-11,5 stars,5,spacex,tweet
elon,ORG,2021-03-11,4 stars,4,spacex,tweet
first,ORDINAL,2021-03-11,4 stars,4,spacex,tweet
76th,ORDINAL,2021-03-11,4 stars,4,spacex,tweet
seventh,ORDINAL,2021-03-11,4 stars,4,spacex,tweet
spacex,ORG,2021-03-11,4 stars,4,spacex,tweet
manitoba,GPE,2021-03-11,5 stars,5,spacex,tweet
uk,GPE,2021-03-11,1 star,1,spacex,tweet
cyberelon,ORG,2021-03-09,1 star,1,spacex,tweet
boca chica beach,GPE,2021-03-09,1 star,1,spacex,tweet
biog,ORG,2021-03-06,3 stars,3,spacex,tweet
starlink,GPE,2021-03-04,5 stars,5,spacex,tweet
elon,PERSON,2021-03-04,3 stars,3,spacex,tweet
semyorka,PERSON,2021-03-04,3 stars,3,spacex,tweet
elon musk s,FAC,2021-03-04,1 star,1,spacex,tweet
starlink,GPE,2021-03-04,1 star,1,spacex,tweet
uk,GPE,2021-03-04,3 stars,3,spacex,tweet
lock up co2,ORG,2021-03-04,5 stars,5,spacex,tweet
house,ORG,2021-03-04,5 stars,5,spacex,tweet
8th,ORDINAL,2021-03-04,5 stars,5,spacex,tweet
b1049,PERSON,2021-03-04,5 stars,5,spacex,tweet
theodore von karman,PERSON,2021-03-04,5 stars,5,spacex,tweet
perfect falcon 9,ORG,2021-03-04,5 stars,5,spacex,tweet
mars,LOC,2021-03-04,4 stars,4,spacex,tweet
pics,ORG,2021-03-04,1 star,1,spacex,tweet
75th,ORDINAL,2021-03-04,5 stars,5,spacex,tweet
8th,ORDINAL,2021-03-04,5 stars,5,spacex,tweet
woot woot,PERSON,2021-03-04,3 stars,3,spacex,tweet
yaaaay,GPE,2021-03-04,1 star,1,spacex,tweet
starlink,ORG,2021-03-04,5 stars,5,spacex,tweet
elon,PERSON,2021-03-04,3 stars,3,spacex,tweet
semyorka,PERSON,2021-03-04,3 stars,3,spacex,tweet
leben kann,PERSON,2021-03-06,5 stars,5,spacex,tweet
wenn ich diese,PERSON,2021-03-06,5 stars,5,spacex,tweet
herr musk konnen sie mir,PERSON,2021-03-06,5 stars,5,spacex,tweet
halfte,GPE,2021-03-06,5 stars,5,spacex,tweet
projekte,ORG,2021-03-06,5 stars,5,spacex,tweet
sie,GPE,2021-03-06,5 stars,5,spacex,tweet
tx,GPE,2021-03-03,1 star,1,spacex,tweet
godspeed sn10,PERSON,2021-03-03,5 stars,5,spacex,tweet
chamath palihapitiya,ORG,2021-03-03,3 stars,3,spacex,tweet
brendan lewis,PERSON,2021-03-03,5 stars,5,spacex,tweet
spacex,PERSON,2021-03-02,5 stars,5,spacex,tweet
malta,GPE,2021-03-02,3 stars,3,spacex,tweet
maltese,NORP,2021-03-02,3 stars,3,spacex,tweet
antarctica,LOC,2021-03-02,3 stars,3,spacex,tweet
turtle,ORG,2021-03-02,1 star,1,spacex,tweet
starlink nrol 44,ORG,2021-03-02,1 star,1,spacex,tweet
booo,ORG,2021-03-01,5 stars,5,spacex,tweet
eu tenho,PERSON,2021-03-01,5 stars,5,spacex,tweet
projeto de energia eterna,ORG,2021-03-01,5 stars,5,spacex,tweet
co2,ORG,2021-03-01,5 stars,5,spacex,tweet
don,PERSON,2021-02-26,5 stars,5,spacex,tweet
chaath palihapitya,PERSON,2021-02-26,5 stars,5,spacex,tweet
social capital,ORG,2021-02-26,5 stars,5,spacex,tweet
don,PERSON,2021-02-26,5 stars,5,spacex,tweet
chaath palihapitya,PERSON,2021-02-26,5 stars,5,spacex,tweet
social capital,ORG,2021-02-26,5 stars,5,spacex,tweet
don,PERSON,2021-02-26,5 stars,5,spacex,tweet
chaath palihapitya,PERSON,2021-02-26,5 stars,5,spacex,tweet
social capital,ORG,2021-02-26,5 stars,5,spacex,tweet
don,PERSON,2021-02-27,5 stars,5,spacex,tweet
chaath palihapitya,PERSON,2021-02-27,5 stars,5,spacex,tweet
social capital,ORG,2021-02-27,5 stars,5,spacex,tweet
don,PERSON,2021-02-27,5 stars,5,spacex,tweet
chaath palihapitya,PERSON,2021-02-27,5 stars,5,spacex,tweet
social capital,ORG,2021-02-27,5 stars,5,spacex,tweet
soml,WORK_OF_ART,2021-02-24,5 stars,5,spacex,tweet
nasa,ORG,2021-02-18,5 stars,5,spacex,tweet
mars,LOC,2021-02-18,5 stars,5,spacex,tweet
mars,LOC,2021-02-18,5 stars,5,spacex,tweet
dodge,ORG,2021-02-18,5 stars,5,spacex,tweet
starlink,ORG,2021-02-16,5 stars,5,spacex,tweet
the atlantic ocean,LOC,2021-02-16,5 stars,5,spacex,tweet
spacex,PERSON,2021-02-16,5 stars,5,spacex,tweet
ms tree,PERSON,2021-02-16,5 stars,5,spacex,tweet
starlinks,PERSON,2021-02-16,5 stars,5,spacex,tweet
sl,PERSON,2021-02-16,5 stars,5,spacex,tweet
gt gt gt gt www e,PRODUCT,2021-02-16,5 stars,5,spacex,tweet
spacex,PERSON,2021-02-16,5 stars,5,spacex,tweet
6th,ORDINAL,2021-02-16,5 stars,5,spacex,tweet
 ,PRODUCT,2021-02-16,5 stars,5,spacex,tweet
falcon,ORG,2021-02-16,5 stars,5,spacex,tweet
starlink,GPE,2021-02-16,5 stars,5,spacex,tweet
starlink satellites,ORG,2021-02-16,3 stars,3,spacex,tweet
falcon 9 booster b1059,ORG,2021-02-16,3 stars,3,spacex,tweet
53 leo ,MONEY,2021-02-16,3 stars,3,spacex,tweet
mars,LOC,2021-02-16,3 stars,3,spacex,tweet
don,PERSON,2021-02-16,3 stars,3,spacex,tweet
earth,LOC,2021-02-16,3 stars,3,spacex,tweet
first,ORDINAL,2021-02-16,5 stars,5,spacex,tweet
of course i still love you,WORK_OF_ART,2021-02-16,5 stars,5,spacex,tweet
the falcon 9s,ORG,2021-02-16,5 stars,5,spacex,tweet
cape canaveral,GPE,2021-02-16,5 stars,5,spacex,tweet
the atlantic ocean,LOC,2021-02-16,5 stars,5,spacex,tweet
william blake happy,PERSON,2021-02-15,5 stars,5,spacex,tweet
russians,NORP,2021-02-15,3 stars,3,spacex,tweet
don t scrub,PERSON,2021-02-15,3 stars,3,spacex,tweet
valencia,GPE,2021-02-15,5 stars,5,spacex,tweet
utc,ORG,2021-02-13,4 stars,4,spacex,tweet
spacex,ORG,2021-02-13,4 stars,4,spacex,tweet
tesla,ORG,2021-02-13,4 stars,4,spacex,tweet
mars,LOC,2021-02-09,5 stars,5,spacex,tweet
falcon,ORG,2021-02-09,4 stars,4,spacex,tweet
dodge,ORG,2021-02-09,4 stars,4,spacex,tweet
goooo,ORG,2021-02-09,5 stars,5,spacex,tweet
last,ORDINAL,2021-02-09,5 stars,5,spacex,tweet
spacex,ORG,2021-02-09,5 stars,5,spacex,tweet
moon,PERSON,2021-02-04,5 stars,5,spacex,tweet
de muuuuun,ORG,2021-02-04,3 stars,3,spacex,tweet
moin,PERSON,2021-02-06,5 stars,5,spacex,tweet
nasa,ORG,2021-02-04,3 stars,3,spacex,tweet
elon,PERSON,2021-02-04,1 star,1,spacex,tweet
malden,GPE,2021-02-04,1 star,1,spacex,tweet
starlink,ORG,2021-02-04,3 stars,3,spacex,tweet
l18,ORG,2021-02-04,3 stars,3,spacex,tweet
don,PERSON,2021-02-04,3 stars,3,spacex,tweet
tasmania,GPE,2021-02-04,3 stars,3,spacex,tweet
new zealand,GPE,2021-02-04,3 stars,3,spacex,tweet
amc,ORG,2021-02-04,4 stars,4,spacex,tweet
elon,PERSON,2021-02-04,1 star,1,spacex,tweet
malden,GPE,2021-02-04,1 star,1,spacex,tweet
twitter,ORG,2021-02-04,1 star,1,spacex,tweet
florida,GPE,2021-02-04,2 stars,2,spacex,tweet
elon,PERSON,2021-02-03,1 star,1,spacex,tweet
malden,GPE,2021-02-03,1 star,1,spacex,tweet
the boring company dogecoin spacex,ORG,2021-02-03,1 star,1,spacex,tweet
moon,PERSON,2021-02-03,1 star,1,spacex,tweet
tesla,ORG,2021-02-03,1 star,1,spacex,tweet
first,ORDINAL,2021-02-03,1 star,1,spacex,tweet
florida,GPE,2021-02-03,1 star,1,spacex,tweet
falcon 9s,ORG,2021-02-03,1 star,1,spacex,tweet
first,ORDINAL,2021-02-03,4 stars,4,spacex,tweet
sweet,PERSON,2021-02-03,5 stars,5,spacex,tweet
elon,ORG,2021-02-02,3 stars,3,spacex,tweet
 ,PRODUCT,2021-02-02,5 stars,5,spacex,tweet
amc,ORG,2021-02-01,5 stars,5,spacex,tweet
spacex,ORG,2021-02-01,1 star,1,spacex,tweet
saudi arabia,GPE,2021-02-01,3 stars,3,spacex,tweet
elon,ORG,2021-02-01,3 stars,3,spacex,tweet
elon musk,PERSON,2021-01-25,5 stars,5,spacex,tweet
144th,PRODUCT,2021-01-25,5 stars,5,spacex,tweet
wen hop,PERSON,2021-01-24,5 stars,5,spacex,tweet
spacex,ORG,2021-01-24,3 stars,3,spacex,tweet
space exploration etf,ORG,2021-01-24,3 stars,3,spacex,tweet
ark invest,ORG,2021-01-24,3 stars,3,spacex,tweet
starlink,ORG,2021-01-24,5 stars,5,spacex,tweet
transporter,PERSON,2021-01-24,5 stars,5,spacex,tweet
falcon 9,PRODUCT,2021-01-24,5 stars,5,spacex,tweet
cuba,GPE,2021-01-24,5 stars,5,spacex,tweet
the atlantic ocean,LOC,2021-01-24,5 stars,5,spacex,tweet
rideshare,ORG,2021-01-24,5 stars,5,spacex,tweet
transporter 1 weird,WORK_OF_ART,2021-01-24,1 star,1,spacex,tweet
second,ORDINAL,2021-01-24,1 star,1,spacex,tweet
the falcon 9s,ORG,2021-01-24,1 star,1,spacex,tweet
starlinks,PERSON,2021-01-24,4 stars,4,spacex,tweet
spacex,ORG,2021-01-24,5 stars,5,spacex,tweet
ocisly,ORG,2021-01-24,5 stars,5,spacex,tweet
sci fi,ORG,2021-01-24,5 stars,5,spacex,tweet
spacex,ORG,2021-01-24,5 stars,5,spacex,tweet
first,ORDINAL,2021-01-24,5 stars,5,spacex,tweet
english,LANGUAGE,2021-01-24,1 star,1,spacex,tweet
mars,LOC,2021-01-24,5 stars,5,spacex,tweet
ocisly,ORG,2021-01-24,1 star,1,spacex,tweet
scoop,PRODUCT,2021-01-24,1 star,1,spacex,tweet
spacex,PERSON,2021-01-24,5 stars,5,spacex,tweet
shouldn,NORP,2021-01-24,2 stars,2,spacex,tweet
covid,GPE,2021-01-24,2 stars,2,spacex,tweet
antarctica,LOC,2021-01-24,5 stars,5,spacex,tweet
satelites,LOC,2021-01-24,1 star,1,spacex,tweet
florida,GPE,2021-01-24,1 star,1,spacex,tweet
mother nature,PERSON,2021-01-23,5 stars,5,spacex,tweet
india,GPE,2021-01-23,3 stars,3,spacex,tweet
f9,ORG,2021-01-23,3 stars,3,spacex,tweet
india,GPE,2021-01-23,3 stars,3,spacex,tweet
eta 2 actis,LOC,2021-01-23,4 stars,4,spacex,tweet
kamino,PRODUCT,2021-01-23,4 stars,4,spacex,tweet
don,PERSON,2021-01-23,4 stars,4,spacex,tweet
obi wan kenobi,PERSON,2021-01-23,4 stars,4,spacex,tweet
bernie,PERSON,2021-01-22,3 stars,3,spacex,tweet
launch pad,FAC,2021-01-22,3 stars,3,spacex,tweet
mars,LOC,2021-01-20,3 stars,3,spacex,tweet
don,PERSON,2021-01-20,3 stars,3,spacex,tweet
earth,LOC,2021-01-20,3 stars,3,spacex,tweet
wen hop,PERSON,2021-01-20,5 stars,5,spacex,tweet
don,PERSON,2021-01-20,2 stars,2,spacex,tweet
atlantic,LOC,2021-01-20,5 stars,5,spacex,tweet
8th,ORDINAL,2021-01-20,5 stars,5,spacex,tweet
8th,ORDINAL,2021-01-20,1 star,1,spacex,tweet
first,ORDINAL,2021-01-20,5 stars,5,spacex,tweet
8th,ORDINAL,2021-01-20,5 stars,5,spacex,tweet
twitter,PRODUCT,2021-01-20,5 stars,5,spacex,tweet
spacex,ORG,2021-01-20,5 stars,5,spacex,tweet
starlink,GPE,2021-01-20,5 stars,5,spacex,tweet
black starlinks matter,PERSON,2021-01-20,5 stars,5,spacex,tweet
greetings from antarctica ,ORG,2021-01-20,5 stars,5,spacex,tweet
trump,PERSON,2021-01-20,1 star,1,spacex,tweet
kthx,ORG,2021-01-19,1 star,1,spacex,tweet
spacex,ORG,2021-01-19,4 stars,4,spacex,tweet
eighth,ORDINAL,2021-01-19,4 stars,4,spacex,tweet
starlink,GPE,2021-01-19,4 stars,4,spacex,tweet
oooo upstaging,PERSON,2021-01-19,3 stars,3,spacex,tweet
boo,ORG,2021-01-18,5 stars,5,spacex,tweet
trump,PERSON,2021-01-18,5 stars,5,spacex,tweet
nasa,ORG,2021-01-14,5 stars,5,spacex,tweet
station memlekete,GPE,2021-01-14,1 star,1,spacex,tweet
gooo,ORG,2021-01-14,5 stars,5,spacex,tweet
huger,ORG,2021-01-14,1 star,1,spacex,tweet
whoooo,ORG,2021-01-14,5 stars,5,spacex,tweet
pics,ORG,2021-01-14,1 star,1,spacex,tweet
america,GPE,2021-01-14,5 stars,5,spacex,tweet
kapan,GPE,2021-01-14,5 stars,5,spacex,tweet
space station,FAC,2021-01-14,4 stars,4,spacex,tweet
dodge,ORG,2021-01-14,5 stars,5,spacex,tweet
station pever,PERSON,2021-01-12,3 stars,3,spacex,tweet
earth ,LOC,2021-01-12,5 stars,5,spacex,tweet
earth,LOC,2021-01-12,5 stars,5,spacex,tweet
dracos,PRODUCT,2021-01-12,1 star,1,spacex,tweet
deorbit,NORP,2021-01-12,1 star,1,spacex,tweet
first,ORDINAL,2021-01-12,5 stars,5,spacex,tweet
us defense,ORG,2021-01-12,2 stars,2,spacex,tweet
trump,PRODUCT,2021-01-12,2 stars,2,spacex,tweet
50th,ORDINAL,2021-01-08,3 stars,3,spacex,tweet
5th,ORDINAL,2021-01-08,3 stars,3,spacex,tweet
50th,ORDINAL,2021-01-08,1 star,1,spacex,tweet
turksat,ORG,2021-01-08,4 stars,4,spacex,tweet
armenian,NORP,2021-01-08,4 stars,4,spacex,tweet
turkey,GPE,2021-01-08,1 star,1,spacex,tweet
airbus,ORG,2021-01-08,4 stars,4,spacex,tweet
turkish,NORP,2021-01-08,4 stars,4,spacex,tweet
turkiye,GPE,2021-01-08,5 stars,5,spacex,tweet
hidden figures,WORK_OF_ART,2021-01-08,4 stars,4,spacex,tweet
congrats spacex,PERSON,2021-01-08,4 stars,4,spacex,tweet
mars,LOC,2021-01-09,2 stars,2,spacex,tweet
erdogan,PERSON,2021-01-08,4 stars,4,spacex,tweet
guzel kullann,ORG,2021-01-08,4 stars,4,spacex,tweet
sagn solunu cizdirmeyin,PERSON,2021-01-08,4 stars,4,spacex,tweet
trump,PERSON,2021-01-08,5 stars,5,spacex,tweet
earth,LOC,2021-01-08,5 stars,5,spacex,tweet
ios,ORG,2021-01-08,4 stars,4,spacex,tweet
roketi neden,PERSON,2021-01-07,1 star,1,spacex,tweet
roket mi yapyorsunuz,PERSON,2021-01-07,1 star,1,spacex,tweet
sahibinden,GPE,2021-01-07,1 star,1,spacex,tweet
az,GPE,2021-01-07,1 star,1,spacex,tweet
yakar,PERSON,2021-01-07,1 star,1,spacex,tweet
cok kacar falcon,ORG,2021-01-07,1 star,1,spacex,tweet
kendimiz gonderemiyoruz,ORG,2021-01-07,5 stars,5,spacex,tweet
first,ORDINAL,2021-01-07,5 stars,5,spacex,tweet
spacex,PERSON,2020-12-24,5 stars,5,spacex,tweet
mars,LOC,2020-12-24,5 stars,5,spacex,tweet
the moon mars,LOC,2020-12-24,5 stars,5,spacex,tweet
nice,GPE,2020-12-21,3 stars,3,spacex,tweet
front row white zip,ORG,2020-12-21,5 stars,5,spacex,tweet
spacex,ORG,2020-12-21,5 stars,5,spacex,tweet
first,ORDINAL,2020-12-20,3 stars,3,spacex,tweet
nicee,PERSON,2020-12-20,5 stars,5,spacex,tweet
spacex,PERSON,2020-12-20,5 stars,5,spacex,tweet
nigeria,GPE,2021-01-02,4 stars,4,spacex,tweet
please,WORK_OF_ART,2021-01-02,4 stars,4,spacex,tweet
africa,LOC,2021-01-02,4 stars,4,spacex,tweet
gbenga adebambo,PERSON,2021-01-02,4 stars,4,spacex,tweet
isaac asimov,PERSON,2020-12-19,4 stars,4,spacex,tweet
vs falcon,PRODUCT,2020-12-19,5 stars,5,spacex,tweet
rtls,ORG,2020-12-19,5 stars,5,spacex,tweet
melania the immigrant musk,WORK_OF_ART,2020-12-19,5 stars,5,spacex,tweet
70th,ORDINAL,2020-12-19,5 stars,5,spacex,tweet
5th,ORDINAL,2020-12-19,5 stars,5,spacex,tweet
vs falcon,PRODUCT,2020-12-19,5 stars,5,spacex,tweet
rtls,ORG,2020-12-19,5 stars,5,spacex,tweet
26th,ORDINAL,2020-12-19,5 stars,5,spacex,tweet
spacex,ORG,2020-12-19,5 stars,5,spacex,tweet
proper space travel,FAC,2020-12-19,5 stars,5,spacex,tweet
bard idolise,PERSON,2020-12-19,5 stars,5,spacex,tweet
godspeed falcon,ORG,2020-12-19,5 stars,5,spacex,tweet
2020  103rd falcon,EVENT,2020-12-19,5 stars,5,spacex,tweet
 ,LAW,2020-12-19,5 stars,5,spacex,tweet
nro,ORG,2020-12-19,5 stars,5,spacex,tweet
5th,ORDINAL,2020-12-19,5 stars,5,spacex,tweet
second,ORDINAL,2020-12-19,2 stars,2,spacex,tweet
spacex,ORG,2020-12-18,4 stars,4,spacex,tweet
26th,ORDINAL,2020-12-18,5 stars,5,spacex,tweet
spacex,ORG,2020-12-18,5 stars,5,spacex,tweet
falcon,ORG,2020-12-17,5 stars,5,spacex,tweet
go falcon,ORG,2020-12-17,5 stars,5,spacex,tweet
uk,GPE,2020-12-17,1 star,1,spacex,tweet
gmt,PRODUCT,2020-12-17,5 stars,5,spacex,tweet
uk,GPE,2020-12-17,3 stars,3,spacex,tweet
69th,ORDINAL,2020-12-13,1 star,1,spacex,tweet
cape canaveral,GPE,2020-12-13,5 stars,5,spacex,tweet
vs falcon,PRODUCT,2020-12-13,5 stars,5,spacex,tweet
rtls,ORG,2020-12-13,5 stars,5,spacex,tweet
spacex,PERSON,2020-12-13,5 stars,5,spacex,tweet
american,NORP,2020-12-13,5 stars,5,spacex,tweet
69th,ORDINAL,2020-12-13,5 stars,5,spacex,tweet
nice,GPE,2020-12-13,5 stars,5,spacex,tweet
69th,ORDINAL,2020-12-13,5 stars,5,spacex,tweet
spacex,ORG,2020-12-13,5 stars,5,spacex,tweet
nice,GPE,2020-12-13,5 stars,5,spacex,tweet
69th,ORDINAL,2020-12-13,5 stars,5,spacex,tweet
69th,ORDINAL,2020-12-13,5 stars,5,spacex,tweet
