post,reply,comment,sentiment,score,time_comment,company,channel
Targeting Wednesday May 26 at 2 59 p m EDT for launch of the next Starlink mission from Florida →,321.0,MOOOOOOON🚀,5 stars,5,2021-05-25,spacex,tweet
Targeting Wednesday May 26 at 2 59 p m EDT for launch of the next Starlink mission from Florida →,321.0,I follow everyone back try me,1 star,1,2021-05-25,spacex,tweet
Targeting Wednesday May 26 at 2 59 p m EDT for launch of the next Starlink mission from Florida →,321.0,It would be nice if you tweeted more about starship but thats cool,3 stars,3,2021-05-25,spacex,tweet
Targeting Wednesday May 26 at 2 59 p m EDT for launch of the next Starlink mission from Florida →,321.0,I think I ll take a drive over to KSC and film it support,3 stars,3,2021-05-25,spacex,tweet
Dragon’s first operational mission for with four astronauts on board was the longest duration human spaceflight for a U S spacecraft,596.0,Hows that work didn t Appollo spend a few days going to the moon,1 star,1,2021-05-18,spacex,tweet
Dragon’s first operational mission for with four astronauts on board was the longest duration human spaceflight for a U S spacecraft,596.0,A brilliant mission Congrats to all involved,5 stars,5,2021-05-18,spacex,tweet
Dragon’s first operational mission for with four astronauts on board was the longest duration human spaceflight for a U S spacecraft,596.0,surely the images in videos like these are enough evidence for the crazy flat earth community to realise we LIVE ON A GLOBE I assume their argument here will be it’s fake and just CGI 🤔,1 star,1,2021-05-18,spacex,tweet
Dragon’s first operational mission for with four astronauts on board was the longest duration human spaceflight for a U S spacecraft,596.0,to the moon,5 stars,5,2021-05-23,spacex,tweet
Dragon’s first operational mission for with four astronauts on board was the longest duration human spaceflight for a U S spacecraft,596.0,That’s history,5 stars,5,2021-05-18,spacex,tweet
Dragon’s first operational mission for with four astronauts on board was the longest duration human spaceflight for a U S spacecraft,596.0,Doge to the moon 🌙🚀🚀🚀🚀 go go go,5 stars,5,2021-05-18,spacex,tweet
Dragon’s first operational mission for with four astronauts on board was the longest duration human spaceflight for a U S spacecraft,596.0,Dogecoin to the moon 🚀🚀🌕,5 stars,5,2021-05-18,spacex,tweet
Deployment of 52 Starlink satellites confirmed,1058.0,Spamming the orbit,5 stars,5,2021-05-16,spacex,tweet
Deployment of 52 Starlink satellites confirmed,1058.0,,2 stars,2,2021-05-16,spacex,tweet
Deployment of 52 Starlink satellites confirmed,1058.0,More stuff in space that will be outdated in a few years and become junk,1 star,1,2021-05-16,spacex,tweet
Deployment of 52 Starlink satellites confirmed,1058.0,Bitcoin electricity Vs space debris perfect competition w,5 stars,5,2021-05-16,spacex,tweet
Deployment of 52 Starlink satellites confirmed,1058.0,Space litter,4 stars,4,2021-05-16,spacex,tweet
Deployment of 52 Starlink satellites confirmed,1058.0,Sure 52 Starlink satellites deployed but obviously includes another piece of space junk to clutter near earth orbit Sad with all you technology you can t figure out a way not to deploy junk as well,1 star,1,2021-05-16,spacex,tweet
Deployment of 52 Starlink satellites confirmed,1058.0,52 more Starlink satellites in low earth orbit,4 stars,4,2021-05-16,spacex,tweet
Deployment of 52 Starlink satellites confirmed,1058.0,Will help doge,5 stars,5,2021-05-16,spacex,tweet
Deployment of Tyvak 0130 and a Capella Synthetic Aperture Radar SAR satellite confirmed,296.0,Nice,4 stars,4,2021-05-15,spacex,tweet
Deployment of Tyvak 0130 and a Capella Synthetic Aperture Radar SAR satellite confirmed,296.0,Why can’t I find this on television,1 star,1,2021-05-16,spacex,tweet
Deployment of Tyvak 0130 and a Capella Synthetic Aperture Radar SAR satellite confirmed,296.0,Green rockets with green methane combustion and green crypto currency like doge doggy coin,1 star,1,2021-05-16,spacex,tweet
Deployment of Tyvak 0130 and a Capella Synthetic Aperture Radar SAR satellite confirmed,296.0,My brain has me imagining a satellite made entirely of Tyvek I can’t help it,1 star,1,2021-05-16,spacex,tweet
Deployment of Tyvak 0130 and a Capella Synthetic Aperture Radar SAR satellite confirmed,296.0,Upon reaching orbit the world s heaviest operational rocket will have burned about 400 metric tons of kerosene and emitted more carbon dioxide in a few minutes than an average car would in more than two centuries,5 stars,5,2021-05-19,spacex,tweet
Deployment of Tyvak 0130 and a Capella Synthetic Aperture Radar SAR satellite confirmed,296.0,,2 stars,2,2021-05-15,spacex,tweet
Falcon 9’s first stage has landed on the Of Course I Still Love You droneship,545.0,Bullseye,5 stars,5,2021-05-15,spacex,tweet
Falcon 9’s first stage has landed on the Of Course I Still Love You droneship,545.0,This is the 8th landing for B1058 and the 80th landing of a Falcon 9 booster,5 stars,5,2021-05-15,spacex,tweet
Falcon 9’s first stage has landed on the Of Course I Still Love You droneship,545.0,I don t know what I m talking about but Could you run a signal along a cable out to a nearby buoy with an antenna that wouldn t get vibrated thus maintaining the drone ship video,3 stars,3,2021-05-16,spacex,tweet
Falcon 9’s first stage has landed on the Of Course I Still Love You droneship,545.0,Doge 🚀🚀,5 stars,5,2021-05-15,spacex,tweet
Falcon 9’s first stage has landed on the Of Course I Still Love You droneship,545.0,You re making it look easy 💫🚀,5 stars,5,2021-05-15,spacex,tweet
Falcon 9’s first stage has landed on the Of Course I Still Love You droneship,545.0,What an incredible landing What improvements have been made so that the feed doesn’t cut out anymore,5 stars,5,2021-05-15,spacex,tweet
Falcon 9’s first stage has landed on the Of Course I Still Love You droneship,545.0,how come the camera on the rocket is more reliable than the drone ship,5 stars,5,2021-05-15,spacex,tweet
Liftoff,371.0,Doge 1 Mission Putting a literal dogecoin on the literal moon,1 star,1,2021-05-15,spacex,tweet
Liftoff,371.0,Two rideshare payloads and another 52 Starlink satellites heading to orbit,1 star,1,2021-05-15,spacex,tweet
Liftoff,371.0,Look at all of that environmental friendly fuel being burnt But is the bad one lol 😂,1 star,1,2021-05-15,spacex,tweet
Liftoff,371.0,If this was NASA I would so much happier But SpaceX not so much,3 stars,3,2021-05-15,spacex,tweet
Liftoff,371.0,I lost 50 000 on doge coin last week and I’m going to take 5 000 from random 10 lucky people who will follow me and retweet this tweet Hurry up guys this is your time to shine and become rich 🔥🔥🔥,5 stars,5,2021-05-15,spacex,tweet
Liftoff,371.0,Another green rocket,1 star,1,2021-05-15,spacex,tweet
Liftoff,371.0,Looks terrible for the environment,1 star,1,2021-05-15,spacex,tweet
Liftoff,371.0,It doesn’t look battery powered 🧐🤔 hehehe,1 star,1,2021-05-15,spacex,tweet
Liftoff,371.0,zero carbon emission🤟🏼🤟🏼 bravo elon,1 star,1,2021-05-15,spacex,tweet
Live feed of Starlink mission →,11852.0,,2 stars,2,2021-05-15,spacex,tweet
Live feed of Starlink mission →,11852.0,,2 stars,2,2021-05-15,spacex,tweet
Live feed of Starlink mission →,11852.0,❤️,5 stars,5,2021-05-16,spacex,tweet
Live feed of Starlink mission →,11852.0,we had our very first Tesla Giveaway Draw today Dogefather bsc to the moon Come join our great community and buckle up because we blasting off to the moon,5 stars,5,2021-05-17,spacex,tweet
Live feed of Starlink mission →,11852.0,If there is future in crypto then why Elon musk is not launching his own Tesla Coin or Space Coin which people trust more Why he is promoting meme coins with no solid base,1 star,1,2021-05-16,spacex,tweet
Live feed of Starlink mission →,11852.0,is the money of the people is the man of the people He is a hero,5 stars,5,2021-05-16,spacex,tweet
Live feed of Starlink mission →,11852.0,Elon crashing rockets sending people to die on mars with a smile and manipulating crypto prices without regards for small investor s lives doesn t make me want to buy a car from him and put my family s lives at risk,1 star,1,2021-05-17,spacex,tweet
New T 0 of 6 56 p m EDT 22 56 UTC for today’s Starlink mission,216.0,,2 stars,2,2021-05-15,spacex,tweet
New T 0 of 6 56 p m EDT 22 56 UTC for today’s Starlink mission,216.0,I hope American Tax payers aren’t footing the bill for all these missions,1 star,1,2021-05-15,spacex,tweet
New T 0 of 6 56 p m EDT 22 56 UTC for today’s Starlink mission,216.0,Cue the overexposed Bitcoin holders,3 stars,3,2021-05-15,spacex,tweet
New T 0 of 6 56 p m EDT 22 56 UTC for today’s Starlink mission,216.0,waste of resources,1 star,1,2021-05-15,spacex,tweet
New T 0 of 6 56 p m EDT 22 56 UTC for today’s Starlink mission,216.0,Doge to the moon,5 stars,5,2021-05-15,spacex,tweet
New T 0 of 6 56 p m EDT 22 56 UTC for today’s Starlink mission,216.0,When’s starling coming to the uk,5 stars,5,2021-05-15,spacex,tweet
New T 0 of 6 56 p m EDT 22 56 UTC for today’s Starlink mission,216.0,Weather delay,2 stars,2,2021-05-15,spacex,tweet
SpaceX software team will do an AMA tomorrow on,330.0,Pineapple on Pizza,5 stars,5,2021-05-14,spacex,tweet
SpaceX software team will do an AMA tomorrow on,330.0,Prepare for doge mania,5 stars,5,2021-05-14,spacex,tweet
SpaceX software team will do an AMA tomorrow on,330.0,What Shampoo does Elon use,5 stars,5,2021-05-14,spacex,tweet
SpaceX software team will do an AMA tomorrow on,330.0,SpaceX Doge 1 satellite prototype will be broadcast and everyone will see the first coin in space 👏👏@SpaceX,5 stars,5,2021-05-14,spacex,tweet
SpaceX software team will do an AMA tomorrow on,330.0,Accept shiba inu coin 🚀🚀🚀🚀🚀🚀,5 stars,5,2021-05-14,spacex,tweet
SpaceX software team will do an AMA tomorrow on,330.0,Now that Elon tweeted that he is pro a carbon tax how much carbon does a launch create Also is the SNxx supposed to launch on itself or using a falcon,1 star,1,2021-05-15,spacex,tweet
SpaceX software team will do an AMA tomorrow on,330.0,Should a done it on lounge instead,2 stars,2,2021-05-14,spacex,tweet
SpaceX software team will do an AMA tomorrow on,330.0,Can someone explain what an AMA is,1 star,1,2021-05-14,spacex,tweet
First Falcon 9 first stage to complete 10 launches and landings,593.0,Doge To The Moon✨,5 stars,5,2021-05-10,spacex,tweet
First Falcon 9 first stage to complete 10 launches and landings,593.0,I’m sorry but who is the lady who always does the countdowns,3 stars,3,2021-05-10,spacex,tweet
First Falcon 9 first stage to complete 10 launches and landings,593.0,Lo que está hecho por Dios solo lo destruye Dios por más cohetes que ustedes lancen no podrán romper lo que Dios ha puesto como protección el hombre jamás podrá salir de la tierra este paraíso es obra de Dios dejen de inventar tanto 🧐,5 stars,5,2021-05-10,spacex,tweet
First Falcon 9 first stage to complete 10 launches and landings,593.0,Doge,5 stars,5,2021-05-10,spacex,tweet
First Falcon 9 first stage to complete 10 launches and landings,593.0,To the moon,5 stars,5,2021-05-10,spacex,tweet
First Falcon 9 first stage to complete 10 launches and landings,593.0,I m waiting for the time machine from I hope to change my future I hope you will succeed,5 stars,5,2021-05-10,spacex,tweet
First Falcon 9 first stage to complete 10 launches and landings,593.0,Dogecoin,3 stars,3,2021-05-10,spacex,tweet
Deployment of 60 Starlink satellites confirmed,497.0,Drеаm tо кnоw which crурtо will grоw bу 2022,1 star,1,2021-05-09,spacex,tweet
Deployment of 60 Starlink satellites confirmed,497.0,Let s go The future of is in the space Thank you for that Thanks to you we will be able to buy and much faster 😁,5 stars,5,2021-05-09,spacex,tweet
Deployment of 60 Starlink satellites confirmed,497.0,Because it s in Space it s cool to watch but some of us also love making 5g towers just the same on Earth,4 stars,4,2021-05-09,spacex,tweet
Deployment of 60 Starlink satellites confirmed,497.0,🚀🚀🚀🌟,5 stars,5,2021-05-09,spacex,tweet
Deployment of 60 Starlink satellites confirmed,497.0,What happens if one malfunctions now or later Is it a big deal Does it get Can it be replaced Thx,3 stars,3,2021-05-09,spacex,tweet
Deployment of 60 Starlink satellites confirmed,497.0,I’m confused HOW many starlink satellites are there Feels like 60 every week,1 star,1,2021-05-09,spacex,tweet
Deployment of 60 Starlink satellites confirmed,497.0,How many will Starship be able to deploy,5 stars,5,2021-05-09,spacex,tweet
Falcon 9’s first stage has landed on the Just Read the Instructions droneship completing this booster’s 10th launch and landing,385.0,Congratulations and for the revolutionary feat of landing a rocket booster 10 TIMES in a row,5 stars,5,2021-05-09,spacex,tweet
Falcon 9’s first stage has landed on the Just Read the Instructions droneship completing this booster’s 10th launch and landing,385.0,What once was thought to be impossible is a regular thing now Another milestone achieved by reaching double digits on a single reusable booster Respect to everyone at SpaceX You lot have really pulled off something special This is only the beginning We move onwards,5 stars,5,2021-05-09,spacex,tweet
Falcon 9’s first stage has landed on the Just Read the Instructions droneship completing this booster’s 10th launch and landing,385.0,Major progress in regard to video feed reliability and quality esp booster cam Hardly any degradation during landing Wonder if that‘s the Starlink upgrade or progress on legacy systems,5 stars,5,2021-05-09,spacex,tweet
Falcon 9’s first stage has landed on the Just Read the Instructions droneship completing this booster’s 10th launch and landing,385.0,The control room currently,4 stars,4,2021-05-09,spacex,tweet
Falcon 9’s first stage has landed on the Just Read the Instructions droneship completing this booster’s 10th launch and landing,385.0,Imagine that the video feed cut out again Why not have the chase boat shoot some video of these “landings”,1 star,1,2021-05-09,spacex,tweet
Falcon 9’s first stage has landed on the Just Read the Instructions droneship completing this booster’s 10th launch and landing,385.0,LETS GO HUGE W,5 stars,5,2021-05-09,spacex,tweet
Falcon 9’s first stage has landed on the Just Read the Instructions droneship completing this booster’s 10th launch and landing,385.0,what will happen to this booster will it be on display at Hawthorne or will it be reflown for an 11th journey to push the envelope,1 star,1,2021-05-09,spacex,tweet
Liftoff,277.0,WOO,3 stars,3,2021-05-09,spacex,tweet
Liftoff,277.0,I love night launches,5 stars,5,2021-05-09,spacex,tweet
Liftoff,277.0,,2 stars,2,2021-05-09,spacex,tweet
Liftoff,277.0,China watching a proper rocket,1 star,1,2021-05-09,spacex,tweet
Liftoff,277.0,When will China March 5B falling on earth and where,1 star,1,2021-05-09,spacex,tweet
Watch the first tenth flight of an orbital class rocket booster →,313.0,,2 stars,2,2021-05-09,spacex,tweet
Watch the first tenth flight of an orbital class rocket booster →,313.0,Good luck SpaceX 🍀 Go Falcon 9 core B1061 10 🚀 Go Starlink 🛰 x 60 Catch the booster JRTI 🛥 Scoop up those fairing halves Shelia Bordelon ⛴,1 star,1,2021-05-09,spacex,tweet
Watch the first tenth flight of an orbital class rocket booster →,313.0,Toooo theeee mooon🚀🌕,3 stars,3,2021-05-09,spacex,tweet
Watch the first tenth flight of an orbital class rocket booster →,313.0,Is it carrying to the moon 😄,5 stars,5,2021-05-09,spacex,tweet
Watch the first tenth flight of an orbital class rocket booster →,313.0,,2 stars,2,2021-05-09,spacex,tweet
Watch the first tenth flight of an orbital class rocket booster →,313.0,I’m giving 10 to 5 people who like this tweet and follow me,5 stars,5,2021-05-09,spacex,tweet
Watch the first tenth flight of an orbital class rocket booster →,313.0,A new SpaceX tweet,5 stars,5,2021-05-09,spacex,tweet
Live feed of Starship SN15 flight test →,1895.0,It’s happening again,5 stars,5,2021-05-05,spacex,tweet
Live feed of Starship SN15 flight test →,1895.0,,2 stars,2,2021-05-05,spacex,tweet
Live feed of Starship SN15 flight test →,1895.0,Is this going to land in my yard 😆😁,1 star,1,2021-05-05,spacex,tweet
Live feed of Starship SN15 flight test →,1895.0,,2 stars,2,2021-05-05,spacex,tweet
Live feed of Starship SN15 flight test →,1895.0,How do you attenuate the acoustic shock as you land The engine noise has to reach 200dB at least,2 stars,2,2021-05-05,spacex,tweet
Live feed of Starship SN15 flight test →,1895.0,Does repeated testing adversely affect the atmosphere in any way,3 stars,3,2021-05-06,spacex,tweet
Live feed of Starship SN15 flight test →,1895.0,I believe in Elon and spaceX and the vision of multiple planetary human Civilizations As our little boys future and his children will need this all creatures need this on earth If SpaceX needs an extra set of hands I would be happy to work for free Dogefamily,5 stars,5,2021-05-06,spacex,tweet
Live feed of Starship SN15 flight test →,1895.0,SpaceX is obligated to take responsibility when your lost missile falls on any country,4 stars,4,2021-05-07,spacex,tweet
Live feed of Starship SN15 flight test →,1895.0,I want to ask what is happening to the footage since the 3 last tests In this one we couldn t see the launch the flop and THE LANDING What I saw was smoke and the the ship that for my perception didnt take off 🤔 Unless you have other footage that you didnt show us 🤔,1 star,1,2021-05-05,spacex,tweet
Deployment of 60 Starlink satellites confirmed completing SpaceX’s 10th Starlink mission this year,532.0,More junk polluting the night skies awesome,1 star,1,2021-05-04,spacex,tweet
Deployment of 60 Starlink satellites confirmed completing SpaceX’s 10th Starlink mission this year,532.0,Thanks for polluting our skies a little bit more,5 stars,5,2021-05-04,spacex,tweet
Deployment of 60 Starlink satellites confirmed completing SpaceX’s 10th Starlink mission this year,532.0,no wonder theres lots of space junk flying about,1 star,1,2021-05-04,spacex,tweet
Deployment of 60 Starlink satellites confirmed completing SpaceX’s 10th Starlink mission this year,532.0,Thanks again for fucking up N E O and the sky 👍,5 stars,5,2021-05-04,spacex,tweet
Deployment of 60 Starlink satellites confirmed completing SpaceX’s 10th Starlink mission this year,532.0,Well done team Ad astra,5 stars,5,2021-05-04,spacex,tweet
Falcon 9’s first stage has landed on the Of Course I Still Love You droneship – the 9th landing of this booster,3963.0,Perfect 9 landing🚀😎👏🏻👏🏻👏🏻,5 stars,5,2021-05-04,spacex,tweet
Falcon 9’s first stage has landed on the Of Course I Still Love You droneship – the 9th landing of this booster,3963.0,B1049 is the second Falcon 9 booster to fly and land 9 times,5 stars,5,2021-05-04,spacex,tweet
Falcon 9’s first stage has landed on the Of Course I Still Love You droneship – the 9th landing of this booster,3963.0,Bull’s eye 🚀,5 stars,5,2021-05-04,spacex,tweet
Falcon 9’s first stage has landed on the Of Course I Still Love You droneship – the 9th landing of this booster,3963.0,Falcon 9 touchdown confirmed The oldest reusable booster in SpaceX’s operational inventory has completed its ninth trip to space and back This marks the 82nd successful recovery of a Falcon booster since 2015,5 stars,5,2021-05-04,spacex,tweet
Falcon 9’s first stage has landed on the Of Course I Still Love You droneship – the 9th landing of this booster,3963.0,That was a pinpoint landing,3 stars,3,2021-05-04,spacex,tweet
Falcon 9’s first stage has landed on the Of Course I Still Love You droneship – the 9th landing of this booster,3963.0,,2 stars,2,2021-05-04,spacex,tweet
Falcon 9’s first stage has landed on the Of Course I Still Love You droneship – the 9th landing of this booster,3963.0,This is cool but what about to 1 🚀🚀🚀,3 stars,3,2021-05-04,spacex,tweet
Falcon 9’s first stage has landed on the Of Course I Still Love You droneship – the 9th landing of this booster,3963.0,satellites soon,5 stars,5,2021-05-04,spacex,tweet
Falcon 9’s first stage has landed on the Of Course I Still Love You droneship – the 9th landing of this booster,3963.0,“I’m gonna make him and offer he can’t refuse”,1 star,1,2021-05-04,spacex,tweet
Liftoff,454.0,The 9th launch of B1049,5 stars,5,2021-05-04,spacex,tweet
Liftoff,454.0,My Dodge Ram accomplished this feat light years ago while hauling 12 000 lbs of steel beams,5 stars,5,2021-05-04,spacex,tweet
Liftoff,454.0,May the Thrust be with you 🚀,3 stars,3,2021-05-04,spacex,tweet
Liftoff,454.0,Now totally how many Starlink sats are orbiting the earth,5 stars,5,2021-05-04,spacex,tweet
Liftoff,454.0,What a beautiful launch,5 stars,5,2021-05-04,spacex,tweet
Watch Falcon 9 launch 60 Starlink satellites →,2572.0,🚀 Give@way Give@way Give@way g0 to site btcgiven TOP,5 stars,5,2021-05-04,spacex,tweet
Watch Falcon 9 launch 60 Starlink satellites →,2572.0,Crypto dr0p ➡️site is btcgiven TOP,5 stars,5,2021-05-04,spacex,tweet
Watch Falcon 9 launch 60 Starlink satellites →,2572.0,G1ve@away ar corpones12,1 star,1,2021-05-04,spacex,tweet
Watch Falcon 9 launch 60 Starlink satellites →,2572.0,We support that jakkichan,5 stars,5,2021-05-04,spacex,tweet
Watch Falcon 9 launch 60 Starlink satellites →,2572.0,We support that jakkicachan,4 stars,4,2021-05-04,spacex,tweet
Watch Falcon 9 launch 60 Starlink satellites →,2572.0,I ve lost all disrespect for you,1 star,1,2021-05-09,spacex,tweet
Watch Falcon 9 launch 60 Starlink satellites →,2572.0,,2 stars,2,2021-05-04,spacex,tweet
Watch Falcon 9 launch 60 Starlink satellites →,2572.0,,2 stars,2,2021-05-04,spacex,tweet
Watch Falcon 9 launch 60 Starlink satellites →,2572.0,,2 stars,2,2021-05-04,spacex,tweet
,3091.0,Hi X this is india some need help please,5 stars,5,2021-05-04,spacex,tweet
,3091.0,And also with you 😂 My students and I will be cheering you on with SN15 attempt No matter the class I’m teaching we stop to watch the launches,5 stars,5,2021-05-04,spacex,tweet
,3091.0,What s Grogu holding,5 stars,5,2021-05-04,spacex,tweet
,3091.0,Hi Elon kindly take notice to our tweets we really wish ur tech gets here to Africa esp the solar panels whatever I have to do to win ur attention I will,3 stars,3,2021-05-04,spacex,tweet
,3091.0,Damn bro I how could I fucking forget May The 4th Be With Everyone Win average,1 star,1,2021-05-04,spacex,tweet
,3091.0,The Earth is the cradle of humanity but mankind cannot stay in the cradle forever —Konstantin Tsiolkovsky,3 stars,3,2021-05-04,spacex,tweet
,3091.0,,2 stars,2,2021-05-04,spacex,tweet
Targeting Tuesday May 4 at 3 01 p m EDT for Falcon 9 launch of 60 Starlink satellites from LC 39A in Florida but team is keeping an eye on weather in the recovery area,328.0,Event gt bitly com 3eQgCGX no space,1 star,1,2021-05-03,spacex,tweet
Targeting Tuesday May 4 at 3 01 p m EDT for Falcon 9 launch of 60 Starlink satellites from LC 39A in Florida but team is keeping an eye on weather in the recovery area,328.0,Party 👉site bitly com 3eQgCGX no space,1 star,1,2021-05-03,spacex,tweet
Targeting Tuesday May 4 at 3 01 p m EDT for Falcon 9 launch of 60 Starlink satellites from LC 39A in Florida but team is keeping an eye on weather in the recovery area,328.0,Airdrop g0 to site bitly com 3eQgCGX no space,1 star,1,2021-05-03,spacex,tweet
Targeting Tuesday May 4 at 3 01 p m EDT for Falcon 9 launch of 60 Starlink satellites from LC 39A in Florida but team is keeping an eye on weather in the recovery area,328.0,🚀 Give@way Give@way Give@way 👉site bitly com 3eQgCGX no space,1 star,1,2021-05-03,spacex,tweet
Targeting Tuesday May 4 at 3 01 p m EDT for Falcon 9 launch of 60 Starlink satellites from LC 39A in Florida but team is keeping an eye on weather in the recovery area,328.0,Event gt bitly com 3eQgCGX no space,1 star,1,2021-05-03,spacex,tweet
Targeting Tuesday May 4 at 3 01 p m EDT for Falcon 9 launch of 60 Starlink satellites from LC 39A in Florida but team is keeping an eye on weather in the recovery area,328.0,Party 👉site bitly com 3eQgCGX no space,1 star,1,2021-05-03,spacex,tweet
Targeting Tuesday May 4 at 3 01 p m EDT for Falcon 9 launch of 60 Starlink satellites from LC 39A in Florida but team is keeping an eye on weather in the recovery area,328.0,Airdrop g0 to site bitly com 3eQgCGX no space,1 star,1,2021-05-03,spacex,tweet
Targeting Tuesday May 4 at 3 01 p m EDT for Falcon 9 launch of 60 Starlink satellites from LC 39A in Florida but team is keeping an eye on weather in the recovery area,328.0,when will Falcon Heavy launch again,3 stars,3,2021-05-03,spacex,tweet
Targeting Tuesday May 4 at 3 01 p m EDT for Falcon 9 launch of 60 Starlink satellites from LC 39A in Florida but team is keeping an eye on weather in the recovery area,328.0,The rocket is ready for take off 🚀🚀 Now its the time to jump in Here s a gìft from Tesla to all the cryptò and D0GE owners 👉 gt gt gt gt musk ceo space Change the comma to a dot,5 stars,5,2021-05-03,spacex,tweet
Targeting Tuesday May 4 at 3 01 p m EDT for Falcon 9 launch of 60 Starlink satellites from LC 39A in Florida but team is keeping an eye on weather in the recovery area,328.0,a las 9 00 PM Son las 17 12,1 star,1,2021-05-03,spacex,tweet
After 167 days in space the longest duration mission for a U S spacecraft since the final Skylab mission in 1974 Dragon and the Crew 1 astronauts illini Shannon Walker and Soichi returned to Earth this morning,451.0,illini Soichi ❤️,5 stars,5,2021-05-02,spacex,tweet
After 167 days in space the longest duration mission for a U S spacecraft since the final Skylab mission in 1974 Dragon and the Crew 1 astronauts illini Shannon Walker and Soichi returned to Earth this morning,451.0,illini Soichi And now we have Elon Musk chief engineer at NAS… Sh SpaceX You made my day🥳,5 stars,5,2021-05-02,spacex,tweet
After 167 days in space the longest duration mission for a U S spacecraft since the final Skylab mission in 1974 Dragon and the Crew 1 astronauts illini Shannon Walker and Soichi returned to Earth this morning,451.0,illini Soichi So much money and he can t afford to buy a face mask that is actually useful Maybe can recommend him something could it be a customised bandana with a lot of protection I d be surprised if it was,2 stars,2,2021-05-02,spacex,tweet
After 167 days in space the longest duration mission for a U S spacecraft since the final Skylab mission in 1974 Dragon and the Crew 1 astronauts illini Shannon Walker and Soichi returned to Earth this morning,451.0,illini Soichi I like the firey X on the front of their suits after they came out Superhero vibes,4 stars,4,2021-05-02,spacex,tweet
After 167 days in space the longest duration mission for a U S spacecraft since the final Skylab mission in 1974 Dragon and the Crew 1 astronauts illini Shannon Walker and Soichi returned to Earth this morning,451.0,illini Soichi All Crews Home safely 😀,5 stars,5,2021-05-02,spacex,tweet
After 167 days in space the longest duration mission for a U S spacecraft since the final Skylab mission in 1974 Dragon and the Crew 1 astronauts illini Shannon Walker and Soichi returned to Earth this morning,451.0,illini Soichi I am living one of the most exciting times in history that of technology and the conquest of space thanks Spacex thanks NASA,5 stars,5,2021-05-02,spacex,tweet
After 167 days in space the longest duration mission for a U S spacecraft since the final Skylab mission in 1974 Dragon and the Crew 1 astronauts illini Shannon Walker and Soichi returned to Earth this morning,451.0,illini Soichi Look at them in their splendid smart spacesuits and shiny smart helmets in their shiny modern spacecraft with in flight movies catering amp a lavatory on board We re a long way from a Mercury capsule now aren t we boys amp girls Well done SpaceX Bloody well done 👏👏👏,5 stars,5,2021-05-02,spacex,tweet
Splashdown of Dragon confirmed – welcome back to Earth illini Shannon Walker and Soichi,4451.0,illini Soichi “Thanks for flying SpaceX ”,5 stars,5,2021-05-02,spacex,tweet
Splashdown of Dragon confirmed – welcome back to Earth illini Shannon Walker and Soichi,4451.0,illini Soichi Congratulations to the SpaceX and NASA teams W00t w00t 🥳🙌🏼🙌🏼🥳,5 stars,5,2021-05-02,spacex,tweet
Splashdown of Dragon confirmed – welcome back to Earth illini Shannon Walker and Soichi,4451.0,illini Soichi Congratulations team Btw look at the thumbnail it s so baffling 😂,1 star,1,2021-05-02,spacex,tweet
Splashdown of Dragon confirmed – welcome back to Earth illini Shannon Walker and Soichi,4451.0,illini Soichi Welcome back home 🏠 What a journey 🐉 ©️®️3️⃣W1️⃣🙏👨‍🚀👨‍🚀👨‍🚀👨‍🚀🚀,5 stars,5,2021-05-02,spacex,tweet
Splashdown of Dragon confirmed – welcome back to Earth illini Shannon Walker and Soichi,4451.0,illini Soichi Demonstration for how it should be done Boeing are you taking notes,5 stars,5,2021-05-02,spacex,tweet
Drogue and main parachutes have deployed,149.0,😍😍😍,5 stars,5,2021-05-02,spacex,tweet
Drogue and main parachutes have deployed,149.0,What a view,5 stars,5,2021-05-02,spacex,tweet
Drogue and main parachutes have deployed,149.0,Woo hoo congrats and home safe and sound 👏👏,5 stars,5,2021-05-02,spacex,tweet
Drogue and main parachutes have deployed,149.0,Rüchsturz zur Erde 1966 Apollo 2012 Dragon,5 stars,5,2021-05-02,spacex,tweet
Drogue and main parachutes have deployed,149.0,,2 stars,2,2021-05-02,spacex,tweet
Dragon’s deorbit burn is complete and its nosecone is closed,167.0,very good elon u will lose evrything u r making fool people on the name doge coin pls reduce price of doge coin and so i can rebuy at 5 cent price i sold them in 5 cent while i purchased them at 7 cent o lost my hard earning money,1 star,1,2021-05-02,spacex,tweet
Dragon’s deorbit burn is complete and its nosecone is closed,167.0,Good job,4 stars,4,2021-05-02,spacex,tweet
Dragon’s deorbit burn is complete and its nosecone is closed,167.0,why is the nosecone closed after the deorbit burn,1 star,1,2021-05-02,spacex,tweet
Dragon’s deorbit burn is complete and its nosecone is closed,167.0,Where is it landing,3 stars,3,2021-05-02,spacex,tweet
Dragon’s deorbit burn is complete and its nosecone is closed,167.0,Your regular coverage model is better than these done with NASA Much of the patter could be reduced with camera views alternating with the orbital track shown,3 stars,3,2021-05-02,spacex,tweet
Dragon’s deorbit burn is complete and its nosecone is closed,167.0,I thought it was closed right after separation,1 star,1,2021-05-02,spacex,tweet
Dragon’s trunk has been jettisoned and deorbit burn has been initiated,81.0,Is there a flight map of where the crew capsule will pass over the U S,3 stars,3,2021-05-02,spacex,tweet
Dragon’s trunk has been jettisoned and deorbit burn has been initiated,81.0,I hope carries this live,5 stars,5,2021-05-02,spacex,tweet
